"","Selectivity","CAt_DW","logDiff","ShapeIndex_DW","sp3_At_DW","logSw","T_PSA","HBD","HBA","logP"
"fluoronitrofen","BL",-0.47721583173922,0.665662048657419,0.622924958754954,-0.57852148802111,-0.736609305018561,-0.439340096694992,-0.848199819203203,-0.587154362886399,0.600115782520584
"fluothiuron","BL",-0.522473032927431,0.52984897314713,0.366414351263852,-0.511884916712319,0.00341806844538798,-0.447967530501193,-0.350226576636095,-0.587154362886399,0.371640638226223
"flupropacil","BL",-0.386701429362798,0.206006111757451,-1.02591069017906,-0.445248345403527,0.135667192740057,-0.433546685618613,-0.848199819203203,-0.494750539517821,-0.30096968239676
"flupropanate","G",-0.680873237086169,1.99499270894835,-0.329685514204186,-0.545203202366714,1.77658233878695,-0.446083247292089,-0.350226576636095,-0.679558186254976,-0.670044915487651
"fluthiacet","BL",-0.431958630551009,0.263072718516027,-0.503741808197905,-0.378611774094735,0.104140072315682,-0.431157140984486,-0.350226576636095,-0.494750539517821,-0.117164357980463
"fomesafen","BL",-0.409330029956904,0.119567206489754,-1.02591069017906,-0.478566631057923,-0.487002944855752,-0.415315485778911,-0.350226576636095,-0.21753906941209,0.132181111994633
"foramsulfuron","NS",-0.364072828768693,-0.132437752684868,-1.63228823275329,-0.411930059749131,0.958066531331417,-0.396081361005332,0.645719908498121,0.336883870799373,-0.742175690208787
"fucaojing","BL",-0.522473032927431,0.493919146668017,-1.02591069017906,-0.378611774094735,0.525124593954104,-0.436422496887346,0.147746665931013,-0.402346716149244,0.380428143776006
"fucaomi","BL",-0.318815627580482,-0.0593486996979392,-0.634315356319902,-0.311975202785944,-0.345239479643436,-0.417640448125629,-0.848199819203203,-0.125135246043513,0.54775689528646
"furyloxyfen","BL",-0.364072828768693,0.233028330419369,-0.793835631520768,-0.345293488440339,-0.487002944855752,-0.432327220074011,-0.848199819203203,-0.402346716149244,0.564599614256878
"glufosinate","NS",-0.635616035897958,1.05671281895748,0.682823381022051,-0.378611774094735,1.9016409622445,-0.422028244711346,0.645719908498121,-0.402346716149244,-2.21115370128086
"glyphosate","NS",-0.680873237086169,1.34926209597417,1.48029944651955,-0.411930059749131,1.96003642786764,-0.419657694867634,1.14369315106523,-0.309942892780667,-2.36896265511239
"halauxifen","BL",-0.454587231145115,0.478789843472224,-1.32427500695303,-0.545203202366714,0.363577845476289,-0.427795063081145,0.147746665931013,-0.402346716149244,-0.310855626140266
"halosafen","BL",-0.386701429362798,0.0262780512478963,-1.02591069017906,-0.445248345403527,-0.672065476874945,-0.415315485778911,-0.350226576636095,-0.21753906941209,0.269485886209995
"haloxyfop","G",-0.409330029956904,0.357425795026033,0.540470645257569,-0.445248345403527,0.495522395649991,-0.434173513702286,-0.350226576636095,-0.402346716149244,0.330266132929328
"haloxyfop-P","G",-0.409330029956904,0.357425795026033,0.540470645257569,-0.445248345403527,0.495522395649991,-0.434173513702286,-0.350226576636095,-0.402346716149244,0.330266132929328
"imazamethabenz","NS",-0.409330029956904,0.426632588857306,-1.65246322435371,-0.411930059749131,0.829982317203987,-0.430332767080503,0.147746665931013,-0.402346716149244,-0.637091769675964
"imazapic","NS",-0.431958630551009,0.460509212192468,-1.02591069017906,-0.411930059749131,0.841108993280373,-0.425435910111682,0.147746665931013,-0.309942892780667,-0.810278858219606
"imazapyr","NS",-0.454587231145115,0.568181500077519,-1.3557279441686,-0.445248345403527,0.937698408658347,-0.425435910111682,0.147746665931013,-0.309942892780667,-0.926347160689658
"imazethapyr","NS",-0.409330029956904,0.357425795026033,-0.72754637340509,-0.378611774094735,0.764279153237711,-0.425435910111682,0.147746665931013,-0.309942892780667,-0.702265769170189
"iodobonil","G",-0.499844432333325,0.52984897314713,1.55398202453848,-0.545203202366714,-0.0617125496897311,-0.437717941593606,-0.848199819203203,-0.494750539517821,0.17794937006642
"iodosulfuron","NS",-0.431958630551009,0.0262780512478963,-0.793835631520768,-0.445248345403527,0.68952154113448,-0.403470334476517,0.147746665931013,0.152076224062219,-0.427290074674892
"ipazine","BL",-0.522473032927431,0.550564816515323,-0.242720022460745,-0.411930059749131,0.277430657481445,-0.439761781042191,-0.350226576636095,-0.402346716149244,0.126688921026019
"ipfencarbazone","G",-0.341444228174588,0.066185326399505,-0.578426870271523,-0.545203202366714,-0.0160749074640355,-0.437410225988893,-0.848199819203203,-0.494750539517821,0.371274492161649
"iprymidam","BL",-0.590358834709747,1.0302599951034,0.0183017632764153,-0.545203202366714,0.758337329864938,-0.436004611498231,0.147746665931013,-0.494750539517821,-0.367608266149282
"isocil","BL",-0.567730234115642,0.929040239688196,-0.543966480891916,-0.511884916712319,1.06110411567539,-0.439412276898566,-0.350226576636095,-0.679558186254976,-0.804786667250992
"isomethiozin","BL",-0.47721583173922,0.392276047519897,-1.02591069017906,-0.345293488440339,0.357084555482242,-0.43740642703081,-0.848199819203203,-0.494750539517821,-0.120093526497057
"isopolinate","G",-0.522473032927431,0.685254230205364,0.419921937682367,-0.311975202785944,1.02203477615804,-0.452537677074888,-0.848199819203203,-0.679558186254976,-0.0450335832593262
"isopropalin","G",-0.409330029956904,0.206006111757451,-1.59544694374382,-0.245338631477152,-0.345239479643436,-0.424208846650914,-0.848199819203203,-0.402346716149244,0.598285052197713
"isoproturon","BL",-0.47721583173922,0.645910302093989,1.06263952723872,-0.478566631057923,0.547107768569761,-0.447967530501193,-0.350226576636095,-0.587154362886399,-0.206137851672017
"isouron","BL",-0.522473032927431,0.726711973159373,0.227194378170244,-0.445248345403527,0.776943010009206,-0.438078842611478,-0.350226576636095,-0.402346716149244,-0.293280615040699
"isoxapyrifop","G",-0.364072828768693,0.175241821528197,0.728436405509965,-0.378611774094735,0.162977226525291,-0.437121505174595,-0.848199819203203,-0.309942892780667,0.116070685153364
"linuron","BL",-0.545101633521536,0.770166104864264,1.06263952723872,-0.511884916712319,0.594561085616822,-0.444461092190703,-0.350226576636095,-0.494750539517821,-0.148286773469278
"MCPB","BL",-0.499844432333325,0.748536361720921,1.89795936580037,-0.445248345403527,0.60066665679026,-0.442576808981599,-0.350226576636095,-0.587154362886399,-0.0446674371947519
"mecoprop","BL",-0.522473032927431,0.883232013043852,0.764275210464755,-0.478566631057923,0.803138482396792,-0.442576808981599,-0.350226576636095,-0.587154362886399,-0.126684155659394
"mecoprop-P","BL",-0.522473032927431,0.883232013043852,0.764275210464755,-0.478566631057923,0.803138482396792,-0.442576808981599,-0.350226576636095,-0.587154362886399,-0.126684155659394
"mefenacet","G",-0.386701429362798,0.426632588857306,0.465910893690786,-0.545203202366714,0.179347676879474,-0.444134381795576,-0.848199819203203,-0.494750539517821,-0.049793482098792
"mefluidide","G",-0.499844432333325,0.442089739134162,-1.02591069017906,-0.478566631057923,0.503737212532168,-0.431658603451425,0.147746665931013,-0.402346716149244,-0.150483649856724
"mesoprazine","BL",-0.522473032927431,0.511950596519861,1.55398202453848,-0.378611774094735,0.526569980885236,-0.432916058576856,0.147746665931013,-0.309942892780667,-0.0622424482943182
"mesosulfuron","NS",-0.386701429362798,-0.19975427012,-1.02591069017906,-0.345293488440339,0.929228809347524,-0.383142109775071,1.14369315106523,0.42928769416795,-0.779522588795365
"metazachlor","G",-0.431958630551009,0.442089739134162,-1.3557279441686,-0.511884916712319,0.971909072945844,-0.445767933771211,-0.848199819203203,-0.587154362886399,-0.428754658933189
"methalpropalin","G",-0.431958630551009,0.279604606797757,-2.07012314363453,-0.345293488440339,-0.487002944855752,-0.424208846650914,-0.848199819203203,-0.402346716149244,0.557642839029966
"methiobencarb","G",-0.454587231145115,0.460509212192468,1.55398202453848,-0.378611774094735,0.719091503472577,-0.449031238764397,-0.848199819203203,-0.587154362886399,-0.090435695266539
"methiuron","BL",-0.522473032927431,0.812855330780788,0.419921937682367,-0.511884916712319,0.786861144405091,-0.454452351948655,-0.350226576636095,-0.679558186254976,-0.489168759587948
"methometon","BL",-0.47721583173922,0.325303219748214,2.1068519806942,-0.245338631477152,0.836097497664028,-0.425903181955875,0.147746665931013,-0.125135246043513,-0.366875974020133
"methoprotryne","BL",-0.499844432333325,0.392276047519897,1.06263952723872,-0.311975202785944,0.628727228838591,-0.432916058576856,0.147746665931013,-0.309942892780667,-0.0131788756413625
"metobenzuron","BL",-0.250929825798166,-0.109118158286108,0.0543911892448751,-0.17870206016836,0.0924499506215331,-0.433941777259231,-0.350226576636095,-0.21753906941209,0.384821896550898
"metolachlor","G",-0.409330029956904,0.279604606797757,-1.3557279441686,-0.345293488440339,0.514710342992891,-0.449031238764397,-0.848199819203203,-0.587154362886399,0.0227034386869187
"metosulam","BL",-0.431958630551009,0.119567206489754,-1.02591069017906,-0.445248345403527,-0.120549703899341,-0.41933478343059,-0.350226576636095,-0.125135246043513,-0.13913312185492
"metoxuron","BL",-0.522473032927431,0.748536361720921,1.06263952723872,-0.511884916712319,0.695283089487115,-0.444461092190703,-0.350226576636095,-0.494750539517821,-0.37602962563449
"molinate","G",-0.545101633521536,0.812855330780788,1.06263952723872,-0.345293488440339,1.11898926719473,-0.452537677074888,-0.848199819203203,-0.679558186254976,-0.186365964185005
"monalide","BL",-0.454587231145115,0.511950596519861,1.32366131297588,-0.445248345403527,0.104140072315682,-0.449198392920044,-0.350226576636095,-0.679558186254976,0.403495345844187
"monisouron","BL",-0.545101633521536,0.859999298763767,0.764275210464755,-0.478566631057923,0.669052327165191,-0.434739558456634,0.147746665931013,-0.402346716149244,-0.331359805756426
"monolinuron","BL",-0.545101633521536,0.883232013043852,1.65936816078666,-0.511884916712319,0.798237273417524,-0.444461092190703,-0.350226576636095,-0.494750539517821,-0.368706704343004
"monuron","BL",-0.545101633521536,0.929040239688196,1.38393566676349,-0.57852148802111,0.663966274221966,-0.447967530501193,-0.350226576636095,-0.587154362886399,-0.348568670791418
"morfamquat","NS",-0.160415423421745,-0.383191561087618,0.0798292221323657,-0.112065488859569,1.88089682331255,-0.434861125115286,-0.848199819203203,-0.309942892780667,-2.66883628199874
"naproanilide","G",-0.318815627580482,0.325303219748214,0.682823381022051,-0.545203202366714,-0.203476014902048,-0.445691954609553,-0.350226576636095,-0.587154362886399,0.336856762091665
"napropamide","G",-0.364072828768693,0.325303219748214,-0.399358156004407,-0.411930059749131,0.497191967402395,-0.449031238764397,-0.848199819203203,-0.587154362886399,0.0534597081111595
"napropamide-M","G",-0.364072828768693,0.325303219748214,-0.399358156004407,-0.411930059749131,0.497191967402395,-0.449031238764397,-0.848199819203203,-0.587154362886399,0.0534597081111595
"neburon","BL",-0.47721583173922,0.460509212192468,1.55398202453848,-0.478566631057923,-0.0376233928966346,-0.447967530501193,-0.350226576636095,-0.587154362886399,0.438279221978745
"nicosulfuron","NS",-0.409330029956904,0.0152793119048245,-1.02591069017906,-0.411930059749131,1.08989938585135,-0.402239472057667,0.147746665931013,0.244480047430796,-0.78245175731196
